papertitle,semanticscholarid,link
#1880 Novel ai-based recipe recommendation system for dialysis patients using retrieval-augmented generation,4e86254be24e4dcac4d0a0cc2d72d9c0f3e9f6bd,https://www.freseniuskidneycare.com/recipes-and-nutrition/recipes
2OMe-LM: predicting 2′-O-methylation sites in human RNA using a pre-trained RNA language model,949cab640f543f200ad1fbeed56cc1c9519b1251,https://csuligroup.com:9200/2OMe-LM
2OMe-LM: predicting 2′-O-methylation sites in human RNA using a pre-trained RNA language model,949cab640f543f200ad1fbeed56cc1c9519b1251,https://github.com/CSUBioGroup/2OMe-LM
4DLangVGGT: 4D Language-Visual Geometry Grounded Transformer,2841f2f2b548c5f61c06917e07c41caf5c55d414,https://github.com/hustvl/4DLangVGGT
"90% Faster, 100% Code-Free: MLLM-Driven Zero-Code 3D Game Development",00c2c1e1c1891a958a3e45158d7fe4b3cac8a515,https://github.com/yxwan123/UniGen
"90% Faster, 100% Code-Free: MLLM-Driven Zero-Code 3D Game Development",00c2c1e1c1891a958a3e45158d7fe4b3cac8a515,https://www.youtube.com/watch?v=xyJjFfnxUx0
A Benchmark Dataset and Evaluation Framework for Vietnamese Large Language Models in Customer Support,a308f20ee69717f2fd8544234c07706266d14c7f,https://huggingface.co/datasets/ura-hcmut/Vietnamese-Customer-Support-QA
A Brain Cell Type Resource Created by Large Language Models and a Multi-Agent AI System for Collaborative Community Annotation,ee5014ad91d8d9443e3acc2aa3e88ef84db8437e,https://biodataai.uth.edu/BRAINCELL-AID
Abstract A024: DeepVul: A multi-task transformer model for joint prediction of gene essentiality and drug response,16fac89388bf55d9c418caf1acacd608560780ef,https://github.com/alaaj27/DeepVul.git
Abstract A030: Mutation2Text: A unified protein and text language model for explaining mutation effects,6d7f56be14d20152097094fc31a7384b28807ef9,https://anonymous.4open.science/r/mutation2text-94A6/
Abstract B040: Literature-scaled immunological gene set annotation using AI-powered immune cell knowledge graph (ICKG),9cebc05a613a4ea264e4bccfd67ff86600e86232,https://kchen-lab.github.io/immune-knowledgegraph.github.io/
Accelerated Aggregated D-Optimal Designs for Estimating Main Effects in Black-Box Models,100bcd9651bc827400b22c227b6eb87fb3dca1ab,https://github.com/cchihyu/A2D2E
AccidentBench: Benchmarking Multimodal Understanding and Reasoning in Vehicle Accidents and Beyond,b78e056bcdba9447459237e8364ddcf3a22040c4,https://github.com/SafeRL-Lab/AccidentBench
A Comprehensive Evaluation of LLM Reasoning: From Single-Model to Multi-Agent Paradigms,8184cb4b061efd01f3034b9c4d9f8cb14da0d762,https://gitcode.com/HIT1920/OpenLLMBench
A Comprehensive Survey of Electronic Health Record Modeling: From Deep Learning Approaches to Large Language Models,be7728e1beb6dd5de8de6b36a2fe561845b7e4c1,https://survey-on-tabular-data.github.io/
